datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,detail_eng,detail
2011/1/1 00:00,1,0,0,1,9.84,14.395,81,0,3,13,16,T1,46
2011/1/1 01:00,1,0,0,1,9.02,13.635,80,0,8,32,40,T1,46
2011/1/1 02:00,1,0,0,1,9.02,13.635,80,0,5,27,32,T1,46
2011/1/1 03:00,1,0,0,1,9.84,14.395,75,0,3,10,13,U1,47
2011/1/1 04:00,1,0,0,1,9.84,14.395,75,0,0,1,1,U1,47
2011/1/1 05:00,1,0,0,2,9.84,12.88,75,6.0032,0,1,1,U1,47
2011/1/1 06:00,1,0,0,1,9.02,13.635,80,0,2,0,2,U1,47
2011/1/1 07:00,1,0,0,1,8.2,12.88,86,0,1,2,3,V1,48
2011/1/1 08:00,1,0,0,1,9.84,14.395,75,0,1,7,8,W1,49
2011/1/1 09:00,1,0,0,1,13.12,17.425,76,0,8,6,14,X1,50
2011/1/1 10:00,1,0,0,1,15.58,19.695,76,16.9979,12,24,36,X1,50
2011/1/1 11:00,1,0,0,1,14.76,16.665,81,19.0012,26,30,56,X1,50
2011/1/1 12:00,1,0,0,1,17.22,21.21,77,19.0012,29,55,84,Y1,51
2011/1/1 13:00,1,0,0,2,18.86,22.725,72,19.9995,47,47,94,Y1,51
2011/1/1 14:00,1,0,0,2,18.86,22.725,72,19.0012,35,71,106,Y1,51
2011/1/1 15:00,1,0,0,2,18.04,21.97,77,19.9995,40,70,110,Y1,51
2011/1/1 16:00,1,0,0,2,17.22,21.21,82,19.9995,41,52,93,Y1,51
2011/1/1 17:00,1,0,0,2,18.04,21.97,82,19.0012,15,52,67,Y1,51
2011/1/1 18:00,1,0,0,3,17.22,21.21,88,16.9979,9,26,35,Z1,52
2011/1/1 19:00,1,0,0,3,17.22,21.21,88,16.9979,6,31,37,Z1,52
2011/1/1 20:00,1,0,0,2,16.4,20.455,87,16.9979,11,25,36,Z1,52
2011/1/1 21:00,1,0,0,2,16.4,20.455,87,12.998,3,31,34,Z1,52
2011/1/1 22:00,1,0,0,2,16.4,20.455,94,15.0013,11,17,28,Z1,52
2011/1/1 23:00,1,0,0,2,18.86,22.725,88,19.9995,15,24,39,Z1,52
2011/1/2 00:00,1,0,0,2,18.86,22.725,88,19.9995,4,13,17,Z1,52
2011/1/2 01:00,1,0,0,2,18.04,21.97,94,16.9979,1,16,17,A2,53
2011/1/2 02:00,1,0,0,2,17.22,21.21,100,19.0012,1,8,9,A2,53
2011/1/2 03:00,1,0,0,2,18.86,22.725,94,12.998,2,4,6,B2,54
2011/1/2 04:00,1,0,0,2,18.86,22.725,94,12.998,2,1,3,B2,54
2011/1/2 06:00,1,0,0,3,17.22,21.21,77,19.9995,0,2,2,B2,54
2011/1/2 07:00,1,0,0,2,16.4,20.455,76,12.998,0,1,1,C2,55
2011/1/2 08:00,1,0,0,3,16.4,20.455,71,15.0013,0,8,8,C2,55
2011/1/2 09:00,1,0,0,2,15.58,19.695,76,15.0013,1,19,20,D2,56
2011/1/2 10:00,1,0,0,2,14.76,17.425,81,15.0013,7,46,53,E2,57
2011/1/2 11:00,1,0,0,2,14.76,16.665,71,16.9979,16,54,70,F2,58
2011/1/2 12:00,1,0,0,2,14.76,16.665,66,19.9995,20,73,93,F2,58
2011/1/2 13:00,1,0,0,2,14.76,17.425,66,8.9981,11,64,75,F2,58
2011/1/2 14:00,1,0,0,3,14.76,17.425,76,12.998,4,55,59,F2,58
2011/1/2 15:00,1,0,0,3,13.94,16.665,81,11.0014,19,55,74,F2,58
2011/1/2 16:00,1,0,0,3,13.94,16.665,71,11.0014,9,67,76,F2,58
2011/1/2 17:00,1,0,0,1,13.94,16.665,57,12.998,7,58,65,F2,58
2011/1/2 18:00,1,0,0,2,14.76,16.665,46,22.0028,10,43,53,E2,57
2011/1/2 19:00,1,0,0,1,13.12,14.395,42,30.0026,1,29,30,G2,59
2011/1/2 20:00,1,0,0,1,12.3,13.635,39,23.9994,5,17,22,G2,59
2011/1/2 21:00,1,0,0,1,10.66,11.365,44,22.0028,11,20,31,G2,59
2011/1/2 22:00,1,0,0,1,9.84,10.605,44,19.9995,0,9,9,H2,60
2011/1/2 23:00,1,0,0,1,9.02,11.365,47,11.0014,0,8,8,H2,60
2011/1/3 00:00,1,0,1,1,9.02,9.85,44,23.9994,0,5,5,H2,60
2011/1/3 01:00,1,0,1,1,8.2,8.335,44,27.9993,0,2,2,A,1
2011/1/3 04:00,1,0,1,1,6.56,6.82,47,26.0027,0,1,1,A,1
2011/1/3 05:00,1,0,1,1,6.56,6.82,47,19.0012,0,3,3,A,1
2011/1/3 06:00,1,0,1,1,5.74,5.305,50,26.0027,0,30,30,B,2
2011/1/3 07:00,1,0,1,1,5.74,6.82,50,12.998,1,63,64,C,3
2011/1/3 08:00,1,0,1,1,5.74,6.06,50,19.0012,1,153,154,D,4
2011/1/3 09:00,1,0,1,1,6.56,6.82,43,26.0027,7,81,88,C,3
2011/1/3 10:00,1,0,1,1,7.38,8.335,43,16.9979,11,33,44,E,5
2011/1/3 11:00,1,0,1,1,8.2,9.09,40,22.0028,10,41,51,E,5
2011/1/3 12:00,1,0,1,1,9.02,10.605,35,19.9995,13,48,61,F,6
2011/1/3 13:00,1,0,1,1,9.84,10.605,35,19.0012,8,53,61,F,6
2011/1/3 14:00,1,0,1,1,10.66,12.12,30,19.0012,11,66,77,F,6
2011/1/3 15:00,1,0,1,1,10.66,12.12,30,16.9979,14,58,72,F,6
2011/1/3 16:00,1,0,1,1,10.66,12.12,30,16.9979,9,67,76,F,6
2011/1/3 17:00,1,0,1,1,9.84,11.365,30,15.0013,11,146,157,G,7
2011/1/3 18:00,1,0,1,1,9.84,12.88,32,7.0015,9,148,157,G,7
2011/1/3 19:00,1,0,1,1,8.2,12.88,47,0,8,102,110,G,7
2011/1/3 20:00,1,0,1,1,8.2,11.365,47,7.0015,3,49,52,H,8
2011/1/3 21:00,1,0,1,1,7.38,9.85,64,8.9981,3,49,52,H,8
2011/1/3 22:00,1,0,1,1,5.74,7.575,69,8.9981,0,20,20,H,8
2011/1/3 23:00,1,0,1,1,7.38,10.605,55,7.0015,1,11,12,I,9
2011/1/4 00:00,1,0,1,1,6.56,9.09,55,7.0015,0,5,5,F,6
2011/1/4 01:00,1,0,1,1,6.56,9.09,59,7.0015,0,2,2,J,10
2011/1/4 02:00,1,0,1,1,5.74,7.575,63,8.9981,0,1,1,J,10
2011/1/4 04:00,1,0,1,1,5.74,9.09,63,6.0032,0,2,2,J,10
2011/1/4 05:00,1,0,1,1,4.92,7.575,68,7.0015,0,4,4,J,10
2011/1/4 06:00,1,0,1,1,4.92,7.575,74,7.0015,0,36,36,K,11
2011/1/4 07:00,1,0,1,1,4.92,7.575,74,8.9981,2,92,94,L,12
2011/1/4 08:00,1,0,1,1,5.74,7.575,69,11.0014,2,177,179,M,13
2011/1/4 09:00,1,0,1,1,6.56,7.575,64,15.0013,2,98,100,L,12
2011/1/4 10:00,1,0,1,2,6.56,6.82,69,22.0028,5,37,42,N,14
2011/1/4 11:00,1,0,1,1,9.02,10.605,51,19.9995,7,50,57,N,14
2011/1/4 12:00,1,0,1,1,9.02,11.365,51,11.0014,12,66,78,O,15
2011/1/4 13:00,1,0,1,1,9.84,11.365,56,12.998,18,79,97,O,15
2011/1/4 14:00,1,0,1,1,10.66,12.88,52,15.0013,9,54,63,O,15
2011/1/4 15:00,1,0,1,1,11.48,13.635,52,16.9979,17,48,65,O,15
2011/1/4 16:00,1,0,1,1,12.3,14.395,49,16.9979,15,68,83,O,15
2011/1/4 17:00,1,0,1,1,11.48,13.635,48,15.0013,10,202,212,P,16
2011/1/4 18:00,1,0,1,1,10.66,12.88,48,12.998,3,179,182,P,16
2011/1/4 19:00,1,0,1,1,9.84,12.88,48,7.0015,2,110,112,P,16
2011/1/4 20:00,1,0,1,1,9.84,12.88,48,7.0015,1,53,54,Q,17
2011/1/4 21:00,1,0,1,1,9.02,13.635,64,0,0,48,48,Q,17
2011/1/4 22:00,1,0,1,1,9.02,12.88,64,6.0032,1,34,35,Q,17
2011/1/4 23:00,1,0,1,1,8.2,11.365,69,6.0032,2,9,11,R,18
2011/1/5 00:00,1,0,1,1,8.2,12.88,64,0,0,6,6,R,18
2011/1/5 01:00,1,0,1,1,6.56,9.85,74,6.0032,0,6,6,S,19
2011/1/5 02:00,1,0,1,1,6.56,9.85,74,6.0032,0,2,2,S,19
2011/1/5 04:00,1,0,1,1,9.84,11.365,48,15.0013,0,2,2,S,19
2011/1/5 05:00,1,0,1,1,9.02,11.365,47,11.0014,0,3,3,S,19
2011/1/5 06:00,1,0,1,1,8.2,9.85,47,15.0013,0,33,33,T,20
2011/1/5 07:00,1,0,1,1,7.38,9.09,43,12.998,1,87,88,U,21
2011/1/5 08:00,1,0,1,1,8.2,9.09,40,19.9995,3,192,195,V,22
2011/1/5 09:00,1,0,1,1,9.02,9.85,37,22.0028,6,109,115,U,21
2011/1/5 10:00,1,0,1,1,9.02,9.85,37,22.0028,4,53,57,W,23
2011/1/5 11:00,1,0,1,1,10.66,11.365,33,22.0028,12,34,46,W,23
2011/1/5 12:00,1,0,1,1,10.66,11.365,33,22.0028,5,74,79,X,24
2011/1/5 13:00,1,0,1,1,11.48,12.88,30,19.9995,6,65,71,X,24
2011/1/5 14:00,1,0,1,1,12.3,14.395,28,12.998,10,52,62,X,24
2011/1/5 15:00,1,0,1,1,12.3,14.395,28,12.998,7,55,62,X,24
2011/1/5 16:00,1,0,1,1,12.3,15.91,28,6.0032,4,85,89,X,24
2011/1/5 17:00,1,0,1,1,9.84,11.365,38,12.998,4,186,190,Y,25
2011/1/5 18:00,1,0,1,1,9.84,12.12,38,8.9981,3,166,169,Y,25
2011/1/5 19:00,1,0,1,1,9.84,12.88,38,7.0015,5,127,132,Y,25
2011/1/5 20:00,1,0,1,1,9.02,11.365,47,11.0014,7,82,89,Z,26
2011/1/5 21:00,1,0,1,1,8.2,9.85,51,12.998,3,40,43,Z,26
2011/1/5 22:00,1,0,1,1,7.38,9.85,55,8.9981,1,41,42,Z,26
2011/1/5 23:00,1,0,1,1,8.2,12.88,47,0,1,18,19,A1,27
2011/1/6 00:00,1,0,1,1,7.38,12.12,55,0,0,11,11,A1,27
2011/1/6 01:00,1,0,1,1,6.56,11.365,64,0,0,4,4,B1,28
2011/1/6 02:00,1,0,1,1,6.56,11.365,64,0,0,2,2,B1,28
2011/1/6 04:00,1,0,1,2,6.56,9.85,64,6.0032,0,1,1,B1,28
2011/1/6 05:00,1,0,1,2,5.74,9.09,69,6.0032,0,4,4,B1,28
2011/1/6 06:00,1,0,1,2,5.74,8.335,63,7.0015,0,36,36,C1,29
2011/1/6 07:00,1,0,1,2,6.56,11.365,59,0,0,95,95,D1,30
2011/1/6 08:00,1,0,1,1,6.56,11.365,59,0,3,216,219,E1,31
2011/1/6 09:00,1,0,1,2,7.38,12.12,51,0,6,116,122,D1,30
2011/1/6 10:00,1,0,1,1,8.2,12.88,47,0,3,42,45,F1,32
2011/1/6 11:00,1,0,1,1,9.02,12.88,44,6.0032,2,57,59,F1,32
2011/1/6 12:00,1,0,1,1,10.66,14.395,35,0,6,78,84,G1,33
2011/1/6 13:00,1,0,1,1,10.66,13.635,35,7.0015,12,55,67,G1,33
2011/1/6 14:00,1,0,1,1,11.48,13.635,36,11.0014,11,59,70,G1,33
2011/1/6 15:00,1,0,1,1,11.48,13.635,36,0,8,54,62,G1,33
2011/1/6 16:00,1,0,1,1,10.66,12.88,38,11.0014,12,74,86,G1,33
